band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,20,30,10,27,33,1.2222222222222223,1.2222222222222223,0.6,-17.0,44,180,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,23,27,4,29,30,1.0344827586206897,1.0344827586206897,0.25,-19.0,105,98,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,23,30,7,29,33,1.1379310344827587,1.1379310344827587,0.5714285714285714,-19.0,105,180,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,23,33,10,29,24,0.8275862068965517,0.8275862068965517,-0.5,-19.0,105,50,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,27,30,3,30,33,1.1,1.1,1.0,-20.0,98,180,-22..-20
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,27,33,6,30,24,0.8,0.8,-1.0,-20.0,98,50,-22..-20
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,27,37,10,30,21,0.7,0.7,-0.9,-20.0,98,28,-22..-20
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,30,33,3,33,24,0.7272727272727273,0.7272727272727273,-3.0,-17.5,180,50,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,30,37,7,33,21,0.6363636363636364,0.6363636363636364,-1.7142857142857142,-17.5,180,28,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,30,40,10,33,47,1.4242424242424243,1.4242424242424243,1.4,-17.5,180,319,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,33,37,4,24,21,0.875,0.875,-0.75,-19.0,50,28,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,33,40,7,24,47,1.9583333333333333,1.9583333333333333,3.2857142857142856,-19.0,50,319,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,37,40,3,21,47,2.238095238095238,2.238095238095238,8.666666666666666,-19.0,28,319,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K5FRT,0,3,3,9,6,0.6666666666666666,0.6666666666666666,-1.0,-23.5,50,24,-24..-22
20m,2023-05-18,wspr_2023-05-18_20m.parquet,NU7B,30,33,3,12,30,2.5,2.5,6.0,-16.0,13,51,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,NU7B,30,40,10,12,35,2.9166666666666665,2.9166666666666665,2.3,-16.0,13,81,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,NU7B,33,40,7,30,35,1.1666666666666667,1.1666666666666667,0.7142857142857143,-20.0,51,81,-22..-20
20m,2023-05-18,wspr_2023-05-18_20m.parquet,PA2W,27,37,10,21,99,4.714285714285714,4.714285714285714,7.8,-15.5,40,99,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,UA1ZQN,37,40,3,333,87,0.26126126126126126,0.26126126126126126,-82.0,-14.0,9979,87,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,UA1ZQN,37,43,6,333,111,0.3333333333333333,0.3333333333333333,-37.0,-14.0,9979,111,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,UA1ZQN,40,43,3,87,111,1.2758620689655173,1.2758620689655173,8.0,-14.0,87,111,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,AB7FB,27,37,10,56,61,1.0892857142857142,1.0892857142857142,0.5,-18.0,175,61,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,DK3BI,23,33,10,97,139,1.4329896907216495,1.4329896907216495,4.2,-14.0,1412,1205,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,G4GVZ,33,37,4,126,59,0.46825396825396826,0.46825396825396826,-16.75,-12.0,451,126,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,IU7RAL,33,40,7,99,64,0.6464646464646465,0.6464646464646465,-5.0,-23.0,1255,139,-24..-22
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,3,10,7,15,14,0.9333333333333333,0.9333333333333333,-0.14285714285714285,-16.0,19,14,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,3,13,10,15,30,2.0,2.0,1.5,-16.0,19,147,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,10,13,3,14,30,2.142857142857143,2.142857142857143,5.333333333333333,-19.0,14,147,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,10,17,7,14,36,2.5714285714285716,2.5714285714285716,3.142857142857143,-19.0,14,109,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,10,20,10,14,37,2.642857142857143,2.642857142857143,2.3,-19.0,14,129,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,13,17,4,30,36,1.2,1.2,1.5,-18.0,147,109,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,13,20,7,30,37,1.2333333333333334,1.2333333333333334,1.0,-18.0,147,129,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K1FQY/E,17,20,3,36,37,1.0277777777777777,1.0277777777777777,0.3333333333333333,-18.0,109,129,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,K6EAU,40,43,3,32,142,4.4375,4.4375,36.666666666666664,-22.0,39,1560,-24..-22
20m,2023-05-19,wspr_2023-05-19_20m.parquet,KC1PHY,37,40,3,72,45,0.625,0.625,-9.0,-14.0,107,68,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,N5ODX,27,37,10,173,62,0.3583815028901734,0.3583815028901734,-11.1,-18.0,2425,254,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,N8NJ,27,30,3,55,272,4.945454545454545,4.945454545454545,72.33333333333333,-15.0,71,2828,-20..-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,NU7B,37,40,3,24,15,0.625,0.625,-3.0,-20.0,24,15,-22..-20
20m,2023-05-19,wspr_2023-05-19_20m.parquet,OH8GKP,33,37,4,8,25,3.125,3.125,4.25,-18.0,14,1892,-20..-15
