band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-06-25,wspr_2023-06-25_20m.parquet,TA1YEP,0,3,3,35,57,1.6285714285714286,1.6285714285714286,7.333333333333333,-17.0,35,107,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,TA1YEP,17,20,3,59,87,1.4745762711864407,1.4745762711864407,9.333333333333334,-19.0,133,317,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,WW4ET,27,30,3,85,73,0.8588235294117647,0.8588235294117647,-4.0,-19.0,168,125,-20..-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,DG7MA,0,3,3,170,170,1.0,1.0,0.0,-10.0,1046,754,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,DL3EL,20,30,10,176,135,0.7670454545454546,0.7670454545454546,-4.1,-10.0,617,426,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,DL3YAV,30,37,7,191,140,0.7329842931937173,0.7329842931937173,-7.285714285714286,-9.0,2375,325,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,EI8EUB,27,33,6,136,139,1.0220588235294117,1.0220588235294117,0.5,-1.0,233,178,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,F6KPL,20,30,10,93,267,2.870967741935484,2.870967741935484,17.4,-21.0,566,5698,-22..-20
40m,2023-05-15,wspr_2023-05-15_40m.parquet,KC1PHY,40,43,3,180,244,1.3555555555555556,1.3555555555555556,21.333333333333332,-6.0,180,425,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,M0PPP,33,37,4,150,111,0.74,0.74,-9.75,-9.0,402,111,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,M0PPP,33,40,7,150,114,0.76,0.76,-5.142857142857143,-9.0,402,114,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,M0PPP,37,40,3,111,114,1.027027027027027,1.027027027027027,1.0,-8.0,111,114,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,MM7BWK,33,37,4,177,249,1.4067796610169492,1.4067796610169492,18.0,-12.0,2416,7846,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,N3AGE,23,30,7,21,33,1.5714285714285714,1.5714285714285714,1.7142857142857142,-14.0,4903,137,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,PA2HGJ,3,10,7,78,102,1.3076923076923077,1.3076923076923077,3.4285714285714284,-24.0,1156,1834,-26..-24
40m,2023-05-15,wspr_2023-05-15_40m.parquet,PA3BUL,33,37,4,33,130,3.9393939393939394,3.9393939393939394,24.25,-27.0,102,707,-28..-26
40m,2023-05-15,wspr_2023-05-15_40m.parquet,PA3GWH,30,33,3,157,131,0.8343949044585988,0.8343949044585988,-8.666666666666666,-7.0,971,242,>-15
40m,2023-05-15,wspr_2023-05-15_40m.parquet,WR1M,33,37,4,15,118,7.866666666666666,7.866666666666666,25.75,-13.0,15,141,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,DC1UI,37,40,3,109,27,0.24770642201834864,0.24770642201834864,-27.333333333333332,-12.5,202,44,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,DG8GAD,13,17,4,6,6,1.0,1.0,0.0,-25.0,19,16,-26..-24
40m,2023-05-16,wspr_2023-05-16_40m.parquet,DG8GAD,17,27,10,6,47,7.833333333333333,7.833333333333333,4.1,-25.0,16,446,-26..-24
40m,2023-05-16,wspr_2023-05-16_40m.parquet,DL3EL,20,30,10,153,86,0.5620915032679739,0.5620915032679739,-6.7,-12.0,899,131,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,F6KPL,20,30,10,76,269,3.539473684210526,3.539473684210526,19.3,-20.0,526,6214,-22..-20
40m,2023-05-16,wspr_2023-05-16_40m.parquet,IW1QLH,17,27,10,123,7,0.056910569105691054,0.056910569105691054,-11.6,-21.0,2435,18,-22..-20
40m,2023-05-16,wspr_2023-05-16_40m.parquet,IZ2QKG,27,33,6,69,87,1.2608695652173914,1.2608695652173914,3.0,-16.0,69,87,-20..-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,IZ2QKG,27,37,10,69,115,1.6666666666666667,1.6666666666666667,4.6,-16.0,69,115,-20..-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,IZ2QKG,33,37,4,87,115,1.3218390804597702,1.3218390804597702,7.0,-9.0,87,115,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,K9FX,37,43,6,59,60,1.0169491525423728,1.0169491525423728,0.16666666666666666,-8.0,59,60,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,KD0J,13,23,10,100,39,0.39,0.39,-6.1,-19.0,2244,744,-20..-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,KF0MJC,47,50,3,65,34,0.5230769230769231,0.5230769230769231,-10.333333333333334,-9.0,178,34,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,M0VPZ,37,43,6,130,115,0.8846153846153846,0.8846153846153846,-2.5,-13.0,748,241,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,N5AQM,27,30,3,93,130,1.3978494623655915,1.3978494623655915,12.333333333333334,-11.0,212,636,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,N6YWU,20,30,10,26,30,1.1538461538461537,1.1538461538461537,0.4,-20.0,42,32,-22..-20
40m,2023-05-16,wspr_2023-05-16_40m.parquet,N7EAL,37,40,3,20,30,1.5,1.5,3.3333333333333335,-8.5,40,30,>-15
40m,2023-05-16,wspr_2023-05-16_40m.parquet,PA0KNW,23,30,7,27,174,6.444444444444445,6.444444444444445,21.0,-20.5,40,1647,-22..-20
40m,2023-05-17,wspr_2023-05-17_40m.parquet,DK8ZV,30,33,3,146,127,0.8698630136986302,0.8698630136986302,-6.333333333333333,-7.0,146,466,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,DL3EL,20,30,10,21,179,8.523809523809524,8.523809523809524,15.8,-12.0,21,1061,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,F4LVF,40,43,3,224,174,0.7767857142857143,0.7767857142857143,-16.666666666666668,-1.0,1137,1962,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,F6KPL,20,30,10,94,294,3.127659574468085,3.127659574468085,20.0,-21.0,829,7066,-22..-20
40m,2023-05-17,wspr_2023-05-17_40m.parquet,G6XOU,0,3,3,155,153,0.9870967741935484,0.9870967741935484,-0.6666666666666666,-10.0,1355,2920,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,GM4CCN,20,23,3,73,168,2.3013698630136985,2.3013698630136985,31.666666666666668,-10.0,110,866,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KF0MJC,37,40,3,60,16,0.26666666666666666,0.26666666666666666,-14.666666666666666,-13.0,317,16,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KF0MJC,37,47,10,60,163,2.716666666666667,2.716666666666667,10.3,-13.0,317,666,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KF0MJC,40,47,7,16,163,10.1875,10.1875,21.0,-13.0,16,666,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KG6WUN,33,43,10,92,171,1.858695652173913,1.858695652173913,7.9,-9.0,92,1559,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KI8FW,27,33,6,110,76,0.6909090909090909,0.6909090909090909,-5.666666666666667,-15.0,350,120,-20..-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,KN6ZFY,40,43,3,101,73,0.7227722772277227,0.7227722772277227,-9.333333333333334,-12.0,1836,284,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,M0IVI,30,37,7,143,146,1.020979020979021,1.020979020979021,0.42857142857142855,-6.0,373,372,>-15
40m,2023-05-17,wspr_2023-05-17_40m.parquet,PA3BUL,30,33,3,12,65,5.416666666666667,5.416666666666667,17.666666666666668,-25.0,37,807,-26..-24
40m,2023-05-17,wspr_2023-05-17_40m.parquet,PA3BUL,30,37,7,12,11,0.9166666666666666,0.9166666666666666,-0.14285714285714285,-25.0,37,11,-26..-24
40m,2023-05-17,wspr_2023-05-17_40m.parquet,PA3BUL,33,37,4,65,11,0.16923076923076924,0.16923076923076924,-13.5,-14.0,807,11,>-15
40m,2023-05-18,wspr_2023-05-18_40m.parquet,DC5SD,43,47,4,137,114,0.8321167883211679,0.8321167883211679,-5.75,6.0,245,211,>-15
40m,2023-05-18,wspr_2023-05-18_40m.parquet,DK3ASE,37,40,3,124,91,0.7338709677419355,0.7338709677419355,-11.0,-9.0,124,91,>-15
40m,2023-05-18,wspr_2023-05-18_40m.parquet,F6KPL,20,30,10,92,270,2.9347826086956523,2.9347826086956523,17.8,-20.0,531,6445,-22..-20
40m,2023-05-18,wspr_2023-05-18_40m.parquet,IW1QLH,17,27,10,137,17,0.12408759124087591,0.12408759124087591,-12.0,-20.0,2824,17,-22..-20
40m,2023-05-18,wspr_2023-05-18_40m.parquet,KC1SFJ,30,37,7,46,29,0.6304347826086957,0.6304347826086957,-2.4285714285714284,-6.0,106,29,>-15
40m,2023-05-18,wspr_2023-05-18_40m.parquet,N7EAL,37,40,3,17,64,3.764705882352941,3.764705882352941,15.666666666666666,-12.0,41,187,>-15
40m,2023-05-18,wspr_2023-05-18_40m.parquet,N7WWA,37,40,3,49,53,1.0816326530612246,1.0816326530612246,1.3333333333333333,-3.0,49,53,>-15
40m,2023-05-19,wspr_2023-05-19_40m.parquet,DG7MA,0,3,3,108,123,1.1388888888888888,1.1388888888888888,5.0,-6.0,288,364,>-15
40m,2023-05-19,wspr_2023-05-19_40m.parquet,F6KPL,20,30,10,88,270,3.0681818181818183,3.0681818181818183,18.2,-21.0,652,6533,-22..-20
40m,2023-05-19,wspr_2023-05-19_40m.parquet,KC1PHY,33,37,4,23,17,0.7391304347826086,0.7391304347826086,-1.5,-6.5,40,36,>-15
40m,2023-05-19,wspr_2023-05-19_40m.parquet,N6YWU,20,30,10,13,27,2.076923076923077,2.076923076923077,1.4,-16.5,24,47,-20..-15
40m,2023-05-19,wspr_2023-05-19_40m.parquet,WB5SRK,33,37,4,51,74,1.4509803921568627,1.4509803921568627,5.75,-7.0,70,276,>-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,DD5NT,30,33,3,32,28,0.875,0.875,-1.3333333333333333,-18.0,40,39,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,DD5NT,30,37,7,32,20,0.625,0.625,-1.7142857142857142,-18.0,40,20,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,DD5NT,33,37,4,28,20,0.7142857142857143,0.7142857142857143,-2.0,-21.0,39,20,-22..-20
40m,2023-05-20,wspr_2023-05-20_40m.parquet,DH0NAE,30,33,3,21,30,1.4285714285714286,1.4285714285714286,3.0,-20.0,36,157,-22..-20
40m,2023-05-20,wspr_2023-05-20_40m.parquet,DL3EL,20,30,10,101,99,0.9801980198019802,0.9801980198019802,-0.2,-16.0,251,283,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,ER1PLG,23,33,10,135,65,0.48148148148148145,0.48148148148148145,-7.0,-21.0,1794,110,-22..-20
40m,2023-05-20,wspr_2023-05-20_40m.parquet,F6KPL,20,30,10,75,253,3.3733333333333335,3.3733333333333335,17.8,-22.0,308,4184,-24..-22
40m,2023-05-20,wspr_2023-05-20_40m.parquet,G1MUM,10,13,3,61,56,0.9180327868852459,0.9180327868852459,-1.6666666666666667,-23.0,432,128,-24..-22
40m,2023-05-20,wspr_2023-05-20_40m.parquet,GM4EIW,27,37,10,89,26,0.29213483146067415,0.29213483146067415,-6.3,-15.0,332,96,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,K5RAB,27,37,10,25,21,0.84,0.84,-0.4,-22.5,32,45,-24..-22
40m,2023-05-20,wspr_2023-05-20_40m.parquet,M0VPZ,37,43,6,40,107,2.675,2.675,11.166666666666666,-20.5,40,1059,-22..-20
40m,2023-05-20,wspr_2023-05-20_40m.parquet,PA3GHJ,30,37,7,19,187,9.842105263157896,9.842105263157896,24.0,-19.0,19,411,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,PD0P,37,43,6,63,60,0.9523809523809523,0.9523809523809523,-0.5,-17.0,63,112,-20..-15
40m,2023-05-20,wspr_2023-05-20_40m.parquet,W6MSU,30,33,3,20,14,0.7,0.7,-2.0,-19.0,58,25,-20..-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,13,17,4,66,45,0.6818181818181818,0.6818181818181818,-5.25,-26.0,71,64,-28..-26
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,13,20,7,66,76,1.1515151515151516,1.1515151515151516,1.4285714285714286,-26.0,71,287,-28..-26
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,13,23,10,66,79,1.196969696969697,1.196969696969697,1.3,-26.0,71,354,-28..-26
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,17,20,3,45,76,1.6888888888888889,1.6888888888888889,10.333333333333334,-22.0,64,287,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,17,23,6,45,79,1.7555555555555555,1.7555555555555555,5.666666666666667,-22.0,64,354,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,17,27,10,45,58,1.288888888888889,1.288888888888889,1.3,-22.0,64,474,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,20,23,3,76,79,1.0394736842105263,1.0394736842105263,1.0,-23.0,287,354,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,20,27,7,76,58,0.7631578947368421,0.7631578947368421,-2.5714285714285716,-23.0,287,474,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DG8GAD,23,27,4,79,58,0.7341772151898734,0.7341772151898734,-5.25,-23.0,354,474,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK1KW,30,37,7,27,57,2.111111111111111,2.111111111111111,4.285714285714286,-22.0,27,158,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK9PA,23,30,7,114,111,0.9736842105263158,0.9736842105263158,-0.42857142857142855,-20.0,693,1141,-22..-20
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK9PA,23,33,10,114,57,0.5,0.5,-5.7,-20.0,693,146,-22..-20
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK9PA,30,33,3,111,57,0.5135135135135135,0.5135135135135135,-18.0,-21.0,1141,146,-22..-20
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK9PA,30,37,7,111,44,0.3963963963963964,0.3963963963963964,-9.571428571428571,-21.0,1141,44,-22..-20
40m,2023-05-21,wspr_2023-05-21_40m.parquet,DK9PA,33,37,4,57,44,0.7719298245614035,0.7719298245614035,-3.25,-22.0,146,44,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,F6KPL,20,30,10,66,272,4.121212121212121,4.121212121212121,20.6,-20.0,289,4999,-22..-20
40m,2023-05-21,wspr_2023-05-21_40m.parquet,IW1QLH,17,27,10,134,31,0.23134328358208955,0.23134328358208955,-10.3,-22.0,1851,69,-24..-22
40m,2023-05-21,wspr_2023-05-21_40m.parquet,K9FX,30,37,7,68,91,1.338235294117647,1.338235294117647,3.2857142857142856,-19.0,68,223,-20..-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,KD9HUR,33,37,4,29,61,2.103448275862069,2.103448275862069,8.0,-19.0,29,61,-20..-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,KJ7VJG,27,30,3,42,49,1.1666666666666667,1.1666666666666667,2.3333333333333335,-11.5,42,59,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,KJ7VJG,27,33,6,42,48,1.1428571428571428,1.1428571428571428,1.0,-11.5,42,48,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,KJ7VJG,30,33,3,49,48,0.9795918367346939,0.9795918367346939,-0.3333333333333333,-8.0,59,48,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,N3AGE,23,30,7,22,67,3.0454545454545454,3.0454545454545454,6.428571428571429,-13.0,4837,229,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,PA3GHJ,27,33,6,99,122,1.2323232323232323,1.2323232323232323,3.8333333333333335,-18.0,168,204,-20..-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,PA3GHJ,27,37,10,99,222,2.242424242424242,2.242424242424242,12.3,-18.0,168,1479,-20..-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,PA3GHJ,33,37,4,122,222,1.819672131147541,1.819672131147541,25.0,-12.0,204,1479,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,PA7BVB,43,50,7,166,139,0.8373493975903614,0.8373493975903614,-3.857142857142857,3.0,406,140,>-15
40m,2023-05-21,wspr_2023-05-21_40m.parquet,WB5SRK,33,37,4,22,166,7.545454545454546,7.545454545454546,36.0,-13.0,58,3156,>-15
40m,2023-06-19,wspr_2023-06-19_40m.parquet,DG8GAD,20,23,3,48,107,2.2291666666666665,2.2291666666666665,19.666666666666668,-24.0,87,1456,-26..-24
40m,2023-06-19,wspr_2023-06-19_40m.parquet,DG8GAD,20,27,7,48,94,1.9583333333333333,1.9583333333333333,6.571428571428571,-24.0,87,658,-26..-24
40m,2023-06-19,wspr_2023-06-19_40m.parquet,DG8GAD,23,27,4,107,94,0.8785046728971962,0.8785046728971962,-3.25,-22.0,1456,658,-24..-22
40m,2023-06-19,wspr_2023-06-19_40m.parquet,DL3EL,20,30,10,150,114,0.76,0.76,-3.6,-15.0,700,339,-20..-15
40m,2023-06-19,wspr_2023-06-19_40m.parquet,F6KPL,20,30,10,98,259,2.642857142857143,2.642857142857143,16.1,-21.0,694,5280,-22..-20
40m,2023-06-19,wspr_2023-06-19_40m.parquet,GM3RQQ,30,37,7,15,1,0.06666666666666667,0.06666666666666667,-2.0,-23.0,15,15,-24..-22
40m,2023-06-19,wspr_2023-06-19_40m.parquet,IW1QLH,17,27,10,110,59,0.5363636363636364,0.5363636363636364,-5.1,-21.0,1972,99,-22..-20
40m,2023-06-19,wspr_2023-06-19_40m.parquet,K7MAP,37,40,3,126,79,0.626984126984127,0.626984126984127,-15.666666666666666,-12.0,679,79,>-15
40m,2023-06-19,wspr_2023-06-19_40m.parquet,N6SKM,33,37,4,130,53,0.4076923076923077,0.4076923076923077,-19.25,-14.0,1403,72,>-15
40m,2023-06-19,wspr_2023-06-19_40m.parquet,PD4BA,30,33,3,31,43,1.3870967741935485,1.3870967741935485,4.0,-24.0,84,86,-26..-24
40m,2023-06-19,wspr_2023-06-19_40m.parquet,WA9ZPM,30,33,3,29,53,1.8275862068965518,1.8275862068965518,8.0,-16.0,71,119,-20..-15
40m,2023-06-19,wspr_2023-06-19_40m.parquet,WY1R,37,43,6,129,36,0.27906976744186046,0.27906976744186046,-15.5,-9.0,680,36,>-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,20,23,3,22,115,5.2272727272727275,5.2272727272727275,31.0,-23.0,27,1467,-24..-22
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,20,27,7,22,71,3.227272727272727,3.227272727272727,7.0,-23.0,27,233,-24..-22
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,20,30,10,22,1,0.045454545454545456,0.045454545454545456,-2.1,-23.0,27,17,-24..-22
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,23,27,4,115,71,0.6173913043478261,0.6173913043478261,-11.0,-24.0,1467,233,-26..-24
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,23,30,7,115,1,0.008695652173913044,0.008695652173913044,-16.285714285714285,-24.0,1467,17,-26..-24
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG8GAD,27,30,3,71,1,0.014084507042253521,0.014084507042253521,-23.333333333333332,-24.0,233,17,-26..-24
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DG9ME,33,43,10,51,129,2.5294117647058822,2.5294117647058822,7.8,-16.0,77,567,-20..-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DL1FX,20,23,3,1,197,197.0,20.0,65.33333333333333,-19.0,11,3771,-20..-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,DL3EL,20,30,10,129,75,0.5813953488372093,0.5813953488372093,-5.4,-15.0,283,201,-20..-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,F6KPL,20,30,10,102,239,2.343137254901961,2.343137254901961,13.7,-21.0,621,4813,-22..-20
40m,2023-06-20,wspr_2023-06-20_40m.parquet,GM3RQQ,30,37,7,48,15,0.3125,0.3125,-4.714285714285714,-21.0,307,37,-22..-20
40m,2023-06-20,wspr_2023-06-20_40m.parquet,IQ8BB,30,37,7,1,207,207.0,20.0,29.428571428571427,-14.0,11,4466,>-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,IW1QLH,17,27,10,99,32,0.32323232323232326,0.32323232323232326,-6.7,-22.0,1399,105,-24..-22
40m,2023-06-20,wspr_2023-06-20_40m.parquet,KJ4G,17,23,6,181,61,0.3370165745856354,0.3370165745856354,-20.0,-15.0,2814,548,-20..-15
40m,2023-06-20,wspr_2023-06-20_40m.parquet,W6DAC,37,43,6,32,49,1.53125,1.53125,2.8333333333333335,-8.5,32,49,>-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG4ST,37,40,3,101,197,1.9504950495049505,1.9504950495049505,32.0,-10.0,495,3277,>-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,17,20,3,13,66,5.076923076923077,5.076923076923077,17.666666666666668,-25.0,13,183,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,17,23,6,13,110,8.461538461538462,8.461538461538462,16.166666666666668,-25.0,13,1806,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,17,27,10,13,86,6.615384615384615,6.615384615384615,7.3,-25.0,13,426,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,20,23,3,66,110,1.6666666666666667,1.6666666666666667,14.666666666666666,-22.0,183,1806,-24..-22
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,20,27,7,66,86,1.303030303030303,1.303030303030303,2.857142857142857,-22.0,183,426,-24..-22
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,20,30,10,66,1,0.015151515151515152,0.015151515151515152,-6.5,-22.0,183,19,-24..-22
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,23,27,4,110,86,0.7818181818181819,0.7818181818181819,-6.0,-24.0,1806,426,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,23,30,7,110,1,0.00909090909090909,0.00909090909090909,-15.571428571428571,-24.0,1806,19,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG8GAD,27,30,3,86,1,0.011627906976744186,0.011627906976744186,-28.333333333333332,-24.0,426,19,-26..-24
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DG9ME,33,43,10,62,128,2.064516129032258,2.064516129032258,6.6,-14.0,62,295,>-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DL1FX,20,23,3,1,208,208.0,20.0,69.0,-19.0,28,6746,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,DL3EL,20,30,10,114,90,0.7894736842105263,0.7894736842105263,-2.4,-9.0,189,152,>-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,F6KPL,20,30,10,86,232,2.697674418604651,2.697674418604651,14.6,-21.0,621,5390,-22..-20
40m,2023-06-21,wspr_2023-06-21_40m.parquet,G8LDJ,30,37,7,186,1,0.005376344086021506,0.005376344086021506,-26.428571428571427,-16.0,6330,28,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,IQ8BB,30,37,7,1,194,194.0,20.0,27.571428571428573,-12.0,18,4278,>-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,IW1QLH,17,27,10,94,61,0.648936170212766,0.648936170212766,-3.3,-22.0,1316,168,-24..-22
40m,2023-06-21,wspr_2023-06-21_40m.parquet,M0PPP,27,37,10,114,85,0.7456140350877193,0.7456140350877193,-2.9,-19.0,248,85,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,MR0JBA,10,13,3,11,41,3.727272727272727,3.727272727272727,10.0,-26.0,38,178,-28..-26
40m,2023-06-21,wspr_2023-06-21_40m.parquet,N5AQM,27,37,10,126,158,1.253968253968254,1.253968253968254,3.2,-15.0,357,424,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,N6YWU,20,30,10,13,16,1.2307692307692308,1.2307692307692308,0.3,-19.0,23,45,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,PA3BUL,23,27,4,136,177,1.3014705882352942,1.3014705882352942,10.25,-17.0,432,6897,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,WA7ARK,3,13,10,19,19,1.0,1.0,0.0,-22.0,1124,125,-24..-22
40m,2023-06-21,wspr_2023-06-21_40m.parquet,WA7ARK,13,23,10,19,139,7.315789473684211,7.315789473684211,12.0,-18.0,125,1403,-20..-15
40m,2023-06-21,wspr_2023-06-21_40m.parquet,WW4ET,33,37,4,46,84,1.826086956521739,1.826086956521739,9.5,-13.0,46,138,>-15
40m,2023-06-22,wspr_2023-06-22_40m.parquet,AA5H,33,37,4,56,81,1.4464285714285714,1.4464285714285714,6.25,-20.0,679,152,-22..-20
40m,2023-06-22,wspr_2023-06-22_40m.parquet,DF7DC,23,27,4,191,22,0.11518324607329843,0.11518324607329843,-42.25,-14.0,2551,22,>-15
40m,2023-06-22,wspr_2023-06-22_40m.parquet,DG8GAD,20,23,3,48,108,2.25,2.25,20.0,-24.0,138,1579,-26..-24
40m,2023-06-22,wspr_2023-06-22_40m.parquet,DG8GAD,20,27,7,48,79,1.6458333333333333,1.6458333333333333,4.428571428571429,-24.0,138,282,-26..-24
40m,2023-06-22,wspr_2023-06-22_40m.parquet,DG8GAD,23,27,4,108,79,0.7314814814814815,0.7314814814814815,-7.25,-24.0,1579,282,-26..-24
40m,2023-06-22,wspr_2023-06-22_40m.parquet,DL3EL,20,30,10,129,130,1.0077519379844961,1.0077519379844961,0.1,-15.0,327,321,-20..-15
40m,2023-06-22,wspr_2023-06-22_40m.parquet,F6KPL,20,30,10,102,245,2.4019607843137254,2.4019607843137254,14.3,-21.0,729,5910,-22..-20
40m,2023-06-22,wspr_2023-06-22_40m.parquet,GM3RQQ,30,33,3,3,42,14.0,14.0,13.0,-23.0,38,107,-24..-22
40m,2023-06-22,wspr_2023-06-22_40m.parquet,GM3RQQ,30,37,7,3,12,4.0,4.0,1.2857142857142858,-23.0,38,12,-24..-22
40m,2023-06-22,wspr_2023-06-22_40m.parquet,GM3RQQ,33,37,4,42,12,0.2857142857142857,0.2857142857142857,-7.5,-20.0,107,12,-22..-20
40m,2023-06-22,wspr_2023-06-22_40m.parquet,GW4JJW,7,10,3,10,41,4.1,4.1,10.333333333333334,-28.0,63,330,-30..-28
40m,2023-06-22,wspr_2023-06-22_40m.parquet,IW1QLH,17,27,10,102,58,0.5686274509803921,0.5686274509803921,-4.4,-22.0,1301,178,-24..-22
40m,2023-06-22,wspr_2023-06-22_40m.parquet,KI6BZP,37,40,3,153,35,0.22875816993464052,0.22875816993464052,-39.333333333333336,-12.0,2802,35,>-15
