band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,log_rx_gain_per_db,delta_rx_per_db,start_snr,reports_lo,reports_hi
10m,2023-05-19,wspr_2023-05-19_10m.parquet,061MNO,33,37,4,19,17,0.8947368421052632,0.8947368421052632,-0.027806408777556094,-0.5,-18.0,19,17
10m,2023-05-19,wspr_2023-05-19_10m.parquet,DL6YCU,27,30,3,51,10,0.19607843137254902,0.19607843137254902,-0.5430801799100934,-13.666666666666666,-19.0,281,22
10m,2023-05-19,wspr_2023-05-19_10m.parquet,LZ3BS,30,33,3,19,9,0.47368421052631576,0.47368421052631576,-0.24907146727674037,-3.3333333333333335,-21.0,50,36
10m,2023-05-19,wspr_2023-05-19_10m.parquet,N9SD,30,37,7,17,12,0.7058823529411765,0.7058823529411765,-0.04975809918117367,-0.7142857142857143,-20.5,114,118
10m,2023-05-19,wspr_2023-05-19_10m.parquet,SA6BSS,53,57,4,61,107,1.7540983606557377,1.7540983606557377,0.14048874257214872,11.5,-17.0,241,1978
10m,2023-05-19,wspr_2023-05-19_10m.parquet,WB5SRK,30,40,10,10,9,0.9,0.9,-0.010536051565782628,-0.1,-19.5,42,16
10m,2023-05-19,wspr_2023-05-19_10m.parquet,WB5SRK,40,47,7,9,12,1.3333333333333333,1.3333333333333333,0.04109743892168298,0.42857142857142855,-19.5,16,17
10m,2023-05-20,wspr_2023-05-20_10m.parquet,G1MUM,17,20,3,12,12,1.0,1.0,0.0,0.0,-23.0,35,36
10m,2023-05-20,wspr_2023-05-20_10m.parquet,PE2YSB,17,23,6,6,8,1.3333333333333333,1.3333333333333333,0.04794701207529681,0.3333333333333333,-15.0,48,41
10m,2023-05-20,wspr_2023-05-20_10m.parquet,SA6BSS,53,57,4,18,17,0.9444444444444444,0.9444444444444444,-0.01428960345998716,-0.25,-18.0,147,167
10m,2023-05-21,wspr_2023-05-21_10m.parquet,KO4WYO,30,37,7,31,8,0.25806451612903225,0.25806451612903225,-0.19350652325790146,-3.2857142857142856,-19.0,166,39
10m,2023-05-21,wspr_2023-05-21_10m.parquet,PA3GLH,30,33,3,16,7,0.4375,0.4375,-0.2755595243948226,-3.0,-18.0,110,16
10m,2023-06-19,wspr_2023-06-19_10m.parquet,AE4JY,30,33,3,24,18,0.75,0.75,-0.09589402415059363,-2.0,-21.0,145,35
10m,2023-06-19,wspr_2023-06-19_10m.parquet,DF4IAF,20,27,7,33,22,0.6666666666666666,0.6666666666666666,-0.05792358687259492,-1.5714285714285714,-18.0,92,38
10m,2023-06-19,wspr_2023-06-19_10m.parquet,DL3EL,20,30,10,14,8,0.5714285714285714,0.5714285714285714,-0.05596157879354228,-0.6,-20.0,23,16
10m,2023-06-19,wspr_2023-06-19_10m.parquet,F6KPL,13,20,7,11,15,1.3636363636363635,1.3636363636363635,0.044307846900548495,0.5714285714285714,-16.5,12,28
10m,2023-06-20,wspr_2023-06-20_10m.parquet,F6KPL,13,20,7,6,18,3.0,3.0,0.15694461266687282,1.7142857142857142,-19.0,25,42
10m,2023-06-21,wspr_2023-06-21_10m.parquet,DL0PBS,17,23,6,27,1,0.037037037037037035,0.037037037037037035,-0.5493061443340549,-4.333333333333333,-13.0,217,10
10m,2023-06-21,wspr_2023-06-21_10m.parquet,DL6NL,30,33,3,84,1,0.011904761904761904,0.011904761904761904,-1.4769389329477711,-27.666666666666668,-19.0,2368,11
10m,2023-06-21,wspr_2023-06-21_10m.parquet,F6KPL,13,20,7,18,35,1.9444444444444444,1.9444444444444444,0.09499661479903557,2.4285714285714284,-22.5,32,108
10m,2023-06-22,wspr_2023-06-22_10m.parquet,KG4INO,30,37,7,13,24,1.8461538461538463,1.8461538461538463,0.08758635326948698,1.5714285714285714,-21.0,114,106
10m,2023-06-23,wspr_2023-06-23_10m.parquet,F6KPL,13,20,7,5,20,4.0,4.0,0.19804205158855578,2.142857142857143,-23.5,12,32
10m,2023-06-24,wspr_2023-06-24_10m.parquet,G4SFS,20,23,3,15,1,0.06666666666666667,0.06666666666666667,-0.9026834003674034,-4.666666666666667,-11.5,266,11
10m,2023-06-24,wspr_2023-06-24_10m.parquet,KK4YEL,23,27,4,6,50,8.333333333333334,8.333333333333334,0.5300658840500228,11.0,-23.0,27,347
10m,2023-06-25,wspr_2023-06-25_10m.parquet,DB1MIC,30,33,3,13,19,1.4615384615384615,1.4615384615384615,0.12649654056830123,2.0,-18.0,70,123
