band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
40m,wspr_2023-05-16_40m.parquet,K9FX,37,43,6,59,60,1.0169491525423728,0.16666666666666666,-8.0,59,60,>-15
40m,wspr_2023-05-16_40m.parquet,KD0J,13,23,10,100,39,0.39,-6.1,-19.0,2244,744,-20..-15
40m,wspr_2023-05-16_40m.parquet,KF0MJC,47,50,3,65,34,0.5230769230769231,-10.333333333333334,-9.0,178,34,>-15
40m,wspr_2023-05-16_40m.parquet,M0VPZ,37,43,6,130,115,0.8846153846153846,-2.5,-13.0,748,241,>-15
40m,wspr_2023-05-16_40m.parquet,N5AQM,27,30,3,93,130,1.3978494623655915,12.333333333333334,-11.0,212,636,>-15
40m,wspr_2023-05-16_40m.parquet,N6YWU,20,30,10,26,30,1.1538461538461537,0.4,-20.0,42,32,-22..-20
40m,wspr_2023-05-16_40m.parquet,N7EAL,37,40,3,20,30,1.5,3.3333333333333335,-8.5,40,30,>-15
40m,wspr_2023-05-16_40m.parquet,PA0DOC,30,37,7,2,5,2.5,0.42857142857142855,-14.5,2,5,>-15
40m,wspr_2023-05-16_40m.parquet,PA0KNW,23,30,7,27,174,6.444444444444445,21.0,-20.5,40,1647,-22..-20
40m,wspr_2023-05-16_40m.parquet,PA3BUL,23,33,10,6,7,1.1666666666666667,0.1,-27.0,13,9,-28..-26
40m,wspr_2023-05-17_40m.parquet,AC9YY,27,30,3,1,183,183.0,60.666666666666664,-18.0,1,5386,-20..-15
40m,wspr_2023-05-17_40m.parquet,AJ8S,33,37,4,1,343,343.0,85.5,-23.0,1,3076,-24..-22
40m,wspr_2023-05-17_40m.parquet,DK8ZV,30,33,3,146,127,0.8698630136986302,-6.333333333333333,-7.0,146,466,>-15
40m,wspr_2023-05-17_40m.parquet,DL3EL,20,30,10,21,179,8.523809523809524,15.8,-12.0,21,1061,>-15
40m,wspr_2023-05-17_40m.parquet,F4LVF,40,43,3,224,174,0.7767857142857143,-16.666666666666668,-1.0,1137,1962,>-15
40m,wspr_2023-05-17_40m.parquet,F6KPL,20,30,10,94,294,3.127659574468085,20.0,-21.0,829,7066,-22..-20
40m,wspr_2023-05-17_40m.parquet,G6XOU,0,3,3,155,153,0.9870967741935484,-0.6666666666666666,-10.0,1355,2920,>-15
40m,wspr_2023-05-17_40m.parquet,GM4CCN,20,23,3,73,168,2.3013698630136985,31.666666666666668,-10.0,110,866,>-15
40m,wspr_2023-05-17_40m.parquet,K1ABB,37,43,6,1,6,6.0,0.8333333333333334,-27.5,4,8,-28..-26
40m,wspr_2023-05-17_40m.parquet,KF0MJC,37,40,3,60,16,0.26666666666666666,-14.666666666666666,-13.0,317,16,>-15
40m,wspr_2023-05-17_40m.parquet,KF0MJC,40,47,7,16,163,10.1875,21.0,-13.0,16,666,>-15
40m,wspr_2023-05-17_40m.parquet,KG6WUN,33,43,10,92,171,1.858695652173913,7.9,-9.0,92,1559,>-15
40m,wspr_2023-05-17_40m.parquet,KI8FW,27,33,6,110,76,0.6909090909090909,-5.666666666666667,-15.0,350,120,-20..-15
40m,wspr_2023-05-17_40m.parquet,KN6ZFY,40,43,3,101,73,0.7227722772277227,-9.333333333333334,-12.0,1836,284,>-15
40m,wspr_2023-05-17_40m.parquet,M0IVI,30,37,7,143,146,1.020979020979021,0.42857142857142855,-6.0,373,372,>-15
40m,wspr_2023-05-17_40m.parquet,M0MGK,37,40,3,99,4,0.04040404040404041,-31.666666666666668,-6.0,99,4,>-15
40m,wspr_2023-05-17_40m.parquet,M0MGK,40,50,10,4,110,27.5,10.6,-10.5,4,110,>-15
40m,wspr_2023-05-17_40m.parquet,M6NHZ,7,17,10,1,253,253.0,25.2,-29.0,1,9024,-30..-28
40m,wspr_2023-05-17_40m.parquet,N7GEE,33,37,4,3,3,1.0,0.0,-21.5,18,3,-22..-20
40m,wspr_2023-05-17_40m.parquet,PA3BUL,30,33,3,12,65,5.416666666666667,17.666666666666668,-25.0,37,807,-26..-24
40m,wspr_2023-05-17_40m.parquet,PA3BUL,33,37,4,65,11,0.16923076923076924,-13.5,-14.0,807,11,>-15
40m,wspr_2023-05-17_40m.parquet,W7YG,33,37,4,1,329,329.0,82.0,-13.0,1,3343,>-15
40m,wspr_2023-05-18_40m.parquet,AJ8S,33,37,4,1,326,326.0,81.25,-15.0,5,4070,-20..-15
40m,wspr_2023-05-18_40m.parquet,DC5SD,43,47,4,137,114,0.8321167883211679,-5.75,6.0,245,211,>-15
40m,wspr_2023-05-18_40m.parquet,DK3ASE,37,40,3,124,91,0.7338709677419355,-11.0,-9.0,124,91,>-15
40m,wspr_2023-05-18_40m.parquet,DL1FX,17,23,6,1,257,257.0,42.666666666666664,-8.0,1,11757,>-15
40m,wspr_2023-05-18_40m.parquet,F6KPL,20,30,10,92,270,2.9347826086956523,17.8,-20.0,531,6445,-22..-20
40m,wspr_2023-05-18_40m.parquet,IW1QLH,17,27,10,137,17,0.12408759124087591,-12.0,-20.0,2824,17,-22..-20
40m,wspr_2023-05-18_40m.parquet,K7RNJ,37,40,3,8,8,1.0,0.0,-22.0,13,8,-24..-22
40m,wspr_2023-05-18_40m.parquet,KC1SFJ,30,37,7,46,29,0.6304347826086957,-2.4285714285714284,-6.0,106,29,>-15
40m,wspr_2023-05-18_40m.parquet,KG4ODC,23,27,4,1,215,215.0,53.5,-20.0,1,7518,-22..-20
40m,wspr_2023-05-18_40m.parquet,N7EAL,37,40,3,17,64,3.764705882352941,15.666666666666666,-12.0,41,187,>-15
40m,wspr_2023-05-18_40m.parquet,N7WWA,37,40,3,49,53,1.0816326530612246,1.3333333333333333,-3.0,49,53,>-15
40m,wspr_2023-05-18_40m.parquet,NI5F,33,37,4,1,327,327.0,81.5,-20.5,2,8083,-22..-20
40m,wspr_2023-05-18_40m.parquet,PA2W,27,37,10,6,93,15.5,8.7,-16.5,6,93,-20..-15
40m,wspr_2023-05-18_40m.parquet,VE6BSV,23,27,4,151,1,0.006622516556291391,-37.5,-17.0,3337,1,-20..-15
40m,wspr_2023-05-18_40m.parquet,VE7APF,30,37,7,5,1,0.2,-0.5714285714285714,-19.0,9,1,-20..-15
40m,wspr_2023-05-19_40m.parquet,AJ8S,33,37,4,1,309,309.0,77.0,-13.0,7,4630,>-15
40m,wspr_2023-05-19_40m.parquet,DG7MA,0,3,3,108,123,1.1388888888888888,5.0,-6.0,288,364,>-15
40m,wspr_2023-05-19_40m.parquet,DG8GAD,27,30,3,66,1,0.015151515151515152,-21.666666666666668,-25.0,983,1,-26..-24
40m,wspr_2023-05-19_40m.parquet,F6KPL,20,30,10,88,270,3.0681818181818183,18.2,-21.0,652,6533,-22..-20
40m,wspr_2023-05-19_40m.parquet,GM4UCD,37,40,3,1,58,58.0,19.0,-10.0,1,208,>-15
40m,wspr_2023-05-19_40m.parquet,KC1PHY,33,37,4,23,17,0.7391304347826086,-1.5,-6.5,40,36,>-15
40m,wspr_2023-05-19_40m.parquet,M0MBO,33,37,4,153,1,0.006535947712418301,-38.0,-8.0,3033,1,>-15
40m,wspr_2023-05-19_40m.parquet,N6YWU,20,30,10,13,27,2.076923076923077,1.4,-16.5,24,47,-20..-15
40m,wspr_2023-05-19_40m.parquet,OK2SAM,27,30,3,174,1,0.005747126436781609,-57.666666666666664,-16.0,6880,1,-20..-15
40m,wspr_2023-05-19_40m.parquet,WB5SRK,33,37,4,51,74,1.4509803921568627,5.75,-7.0,70,276,>-15
40m,wspr_2023-05-20_40m.parquet,DD5NT,30,33,3,32,28,0.875,-1.3333333333333333,-18.0,40,39,-20..-15
40m,wspr_2023-05-20_40m.parquet,DD5NT,33,37,4,28,20,0.7142857142857143,-2.0,-21.0,39,20,-22..-20
40m,wspr_2023-05-20_40m.parquet,DH0NAE,30,33,3,21,30,1.4285714285714286,3.0,-20.0,36,157,-22..-20
40m,wspr_2023-05-20_40m.parquet,DL3EL,20,30,10,101,99,0.9801980198019802,-0.2,-16.0,251,283,-20..-15
40m,wspr_2023-05-20_40m.parquet,ER1PLG,23,33,10,135,65,0.48148148148148145,-7.0,-21.0,1794,110,-22..-20
40m,wspr_2023-05-20_40m.parquet,F6KPL,20,30,10,75,253,3.3733333333333335,17.8,-22.0,308,4184,-24..-22
40m,wspr_2023-05-20_40m.parquet,G1MUM,10,13,3,61,56,0.9180327868852459,-1.6666666666666667,-23.0,432,128,-24..-22
40m,wspr_2023-05-20_40m.parquet,GM4EIW,27,37,10,89,26,0.29213483146067415,-6.3,-15.0,332,96,-20..-15
40m,wspr_2023-05-20_40m.parquet,K5RAB,27,37,10,25,21,0.84,-0.4,-22.5,32,45,-24..-22
40m,wspr_2023-05-20_40m.parquet,M0VPZ,37,43,6,40,107,2.675,11.166666666666666,-20.5,40,1059,-22..-20
40m,wspr_2023-05-20_40m.parquet,PA3GHJ,30,37,7,19,187,9.842105263157896,24.0,-19.0,19,411,-20..-15
40m,wspr_2023-05-20_40m.parquet,PD0P,37,43,6,63,60,0.9523809523809523,-0.5,-17.0,63,112,-20..-15
40m,wspr_2023-05-20_40m.parquet,W6MSU,30,33,3,20,14,0.7,-2.0,-19.0,58,25,-20..-15
40m,wspr_2023-05-21_40m.parquet,DG8GAD,13,17,4,66,45,0.6818181818181818,-5.25,-26.0,71,64,-28..-26
40m,wspr_2023-05-21_40m.parquet,DG8GAD,17,20,3,45,76,1.6888888888888889,10.333333333333334,-22.0,64,287,-24..-22
40m,wspr_2023-05-21_40m.parquet,DG8GAD,20,23,3,76,79,1.0394736842105263,1.0,-23.0,287,354,-24..-22
40m,wspr_2023-05-21_40m.parquet,DG8GAD,23,27,4,79,58,0.7341772151898734,-5.25,-23.0,354,474,-24..-22
40m,wspr_2023-05-21_40m.parquet,DK1KW,30,37,7,27,57,2.111111111111111,4.285714285714286,-22.0,27,158,-24..-22
40m,wspr_2023-05-21_40m.parquet,DK9PA,23,30,7,114,111,0.9736842105263158,-0.42857142857142855,-20.0,693,1141,-22..-20
40m,wspr_2023-05-21_40m.parquet,DK9PA,30,33,3,111,57,0.5135135135135135,-18.0,-21.0,1141,146,-22..-20
40m,wspr_2023-05-21_40m.parquet,DK9PA,33,37,4,57,44,0.7719298245614035,-3.25,-22.0,146,44,-24..-22
40m,wspr_2023-05-21_40m.parquet,F6KPL,20,30,10,66,272,4.121212121212121,20.6,-20.0,289,4999,-22..-20
40m,wspr_2023-05-21_40m.parquet,IW1QLH,17,27,10,134,31,0.23134328358208955,-10.3,-22.0,1851,69,-24..-22
40m,wspr_2023-05-21_40m.parquet,K9FX,30,37,7,68,91,1.338235294117647,3.2857142857142856,-19.0,68,223,-20..-15
40m,wspr_2023-05-21_40m.parquet,KD9HUR,33,37,4,29,61,2.103448275862069,8.0,-19.0,29,61,-20..-15
40m,wspr_2023-05-21_40m.parquet,KJ7VJG,27,30,3,42,49,1.1666666666666667,2.3333333333333335,-11.5,42,59,>-15
40m,wspr_2023-05-21_40m.parquet,KJ7VJG,30,33,3,49,48,0.9795918367346939,-0.3333333333333333,-8.0,59,48,>-15
40m,wspr_2023-05-21_40m.parquet,N3AGE,23,30,7,22,67,3.0454545454545454,6.428571428571429,-13.0,4837,229,>-15
40m,wspr_2023-05-21_40m.parquet,PA3GHJ,27,33,6,99,122,1.2323232323232323,3.8333333333333335,-18.0,168,204,-20..-15
40m,wspr_2023-05-21_40m.parquet,PA3GHJ,33,37,4,122,222,1.819672131147541,25.0,-12.0,204,1479,>-15
40m,wspr_2023-05-21_40m.parquet,PA7BVB,43,50,7,166,139,0.8373493975903614,-3.857142857142857,3.0,406,140,>-15
40m,wspr_2023-05-21_40m.parquet,W9TNG,13,23,10,1,160,160.0,15.9,-25.0,1,2420,-26..-24
40m,wspr_2023-05-21_40m.parquet,WB5SRK,33,37,4,22,166,7.545454545454546,36.0,-13.0,58,3156,>-15
40m,wspr_2023-05-21_40m.parquet,WB5SRK,37,47,10,166,8,0.04819277108433735,-15.8,-9.0,3156,8,>-15
40m,wspr_2023-06-19_40m.parquet,DG8GAD,20,23,3,48,107,2.2291666666666665,19.666666666666668,-24.0,87,1456,-26..-24
40m,wspr_2023-06-19_40m.parquet,DG8GAD,23,27,4,107,94,0.8785046728971962,-3.25,-22.0,1456,658,-24..-22
40m,wspr_2023-06-19_40m.parquet,DL3EL,20,30,10,150,114,0.76,-3.6,-15.0,700,339,-20..-15
40m,wspr_2023-06-19_40m.parquet,F6KPL,20,30,10,98,259,2.642857142857143,16.1,-21.0,694,5280,-22..-20
40m,wspr_2023-06-19_40m.parquet,GM3RQQ,30,33,3,15,1,0.06666666666666667,-4.666666666666667,-23.0,15,6,-24..-22
40m,wspr_2023-06-19_40m.parquet,GM3RQQ,33,37,4,1,1,1.0,0.0,-20.5,6,15,-22..-20
40m,wspr_2023-06-19_40m.parquet,IW1QLH,17,27,10,110,59,0.5363636363636364,-5.1,-21.0,1972,99,-22..-20
40m,wspr_2023-06-19_40m.parquet,K7MAP,37,40,3,126,79,0.626984126984127,-15.666666666666666,-12.0,679,79,>-15
40m,wspr_2023-06-19_40m.parquet,N0RVS,20,27,7,1,8,8.0,1.0,-11.0,1,9,>-15
40m,wspr_2023-06-19_40m.parquet,N0RVS,27,30,3,8,9,1.125,0.3333333333333333,-21.0,9,9,-22..-20
40m,wspr_2023-06-19_40m.parquet,N0RVS,30,37,7,9,10,1.1111111111111112,0.14285714285714285,-16.0,9,15,-20..-15
40m,wspr_2023-06-19_40m.parquet,N6SKM,33,37,4,130,53,0.4076923076923077,-19.25,-14.0,1403,72,>-15
40m,wspr_2023-06-19_40m.parquet,NI5F,33,37,4,1,156,156.0,38.75,-5.0,1,2961,>-15
40m,wspr_2023-06-19_40m.parquet,PD4BA,30,33,3,31,43,1.3870967741935485,4.0,-24.0,84,86,-26..-24
40m,wspr_2023-06-19_40m.parquet,WA9ZPM,30,33,3,29,53,1.8275862068965518,8.0,-16.0,71,119,-20..-15
40m,wspr_2023-06-19_40m.parquet,WY1R,37,43,6,129,36,0.27906976744186046,-15.5,-9.0,680,36,>-15
40m,wspr_2023-06-20_40m.parquet,DG8GAD,13,17,4,6,2,0.3333333333333333,-1.0,-17.0,6,2,-20..-15
40m,wspr_2023-06-20_40m.parquet,DG8GAD,17,20,3,2,22,11.0,6.666666666666667,-26.0,2,27,-28..-26
40m,wspr_2023-06-20_40m.parquet,DG8GAD,20,23,3,22,115,5.2272727272727275,31.0,-23.0,27,1467,-24..-22
40m,wspr_2023-06-20_40m.parquet,DG8GAD,23,27,4,115,71,0.6173913043478261,-11.0,-24.0,1467,233,-26..-24
40m,wspr_2023-06-20_40m.parquet,DG8GAD,27,30,3,71,1,0.014084507042253521,-23.333333333333332,-24.0,233,17,-26..-24
40m,wspr_2023-06-20_40m.parquet,DG9ME,33,43,10,51,129,2.5294117647058822,7.8,-16.0,77,567,-20..-15
40m,wspr_2023-06-20_40m.parquet,DL1FX,20,23,3,1,197,197.0,65.33333333333333,-19.0,11,3771,-20..-15
40m,wspr_2023-06-20_40m.parquet,DL3EL,20,30,10,129,75,0.5813953488372093,-5.4,-15.0,283,201,-20..-15
40m,wspr_2023-06-20_40m.parquet,F6KPL,20,30,10,102,239,2.343137254901961,13.7,-21.0,621,4813,-22..-20
40m,wspr_2023-06-20_40m.parquet,G0CSK,23,27,4,1,142,142.0,35.25,-23.0,3,2113,-24..-22
40m,wspr_2023-06-20_40m.parquet,G8LDJ,30,37,7,186,1,0.005376344086021506,-26.428571428571427,-17.0,4733,7,-20..-15
40m,wspr_2023-06-20_40m.parquet,GM3RQQ,30,37,7,48,15,0.3125,-4.714285714285714,-21.0,307,37,-22..-20
40m,wspr_2023-06-20_40m.parquet,IQ8BB,30,37,7,1,207,207.0,29.428571428571427,-14.0,11,4466,>-15
40m,wspr_2023-06-20_40m.parquet,IW1QLH,17,27,10,99,32,0.32323232323232326,-6.7,-22.0,1399,105,-24..-22
40m,wspr_2023-06-20_40m.parquet,KJ4G,17,23,6,181,61,0.3370165745856354,-20.0,-15.0,2814,548,-20..-15
40m,wspr_2023-06-20_40m.parquet,M0BSI,33,37,4,1,303,303.0,75.5,-16.0,8,7477,-20..-15
40m,wspr_2023-06-20_40m.parquet,N0RVS,30,33,3,2,8,4.0,2.0,-17.5,2,11,-20..-15
40m,wspr_2023-06-20_40m.parquet,N6YWU,20,30,10,1,31,31.0,3.0,-18.0,2,57,-20..-15
40m,wspr_2023-06-20_40m.parquet,ON4WS,27,30,3,1,243,243.0,80.66666666666667,-11.0,7,10330,>-15
40m,wspr_2023-06-20_40m.parquet,OZ8WSP,23,27,4,1,133,133.0,33.0,-25.0,6,1100,-26..-24
40m,wspr_2023-06-20_40m.parquet,R2BIY,37,40,3,1,1,1.0,0.0,-24.0,1,1,-26..-24
40m,wspr_2023-06-20_40m.parquet,S51RS,10,20,10,1,166,166.0,16.5,-22.0,2,3448,-24..-22
40m,wspr_2023-06-20_40m.parquet,SM3ESX,20,23,3,1,112,112.0,37.0,-15.0,2,984,-20..-15
40m,wspr_2023-06-20_40m.parquet,W6DAC,37,43,6,32,49,1.53125,2.8333333333333335,-8.5,32,49,>-15
40m,wspr_2023-06-20_40m.parquet,WB5SRK,33,37,4,36,3,0.08333333333333333,-8.25,-7.5,36,3,>-15
40m,wspr_2023-06-21_40m.parquet,DF4EU,20,23,3,1,1,1.0,0.0,-15.0,14,4,-20..-15
40m,wspr_2023-06-21_40m.parquet,DG4ST,37,40,3,101,197,1.9504950495049505,32.0,-10.0,495,3277,>-15
40m,wspr_2023-06-21_40m.parquet,DG8GAD,17,20,3,13,66,5.076923076923077,17.666666666666668,-25.0,13,183,-26..-24
40m,wspr_2023-06-21_40m.parquet,DG8GAD,20,23,3,66,110,1.6666666666666667,14.666666666666666,-22.0,183,1806,-24..-22
40m,wspr_2023-06-21_40m.parquet,DG8GAD,23,27,4,110,86,0.7818181818181819,-6.0,-24.0,1806,426,-26..-24
40m,wspr_2023-06-21_40m.parquet,DG8GAD,27,30,3,86,1,0.011627906976744186,-28.333333333333332,-24.0,426,19,-26..-24
40m,wspr_2023-06-21_40m.parquet,DG9ME,33,43,10,62,128,2.064516129032258,6.6,-14.0,62,295,>-15
40m,wspr_2023-06-21_40m.parquet,DL1FX,20,23,3,1,208,208.0,69.0,-19.0,28,6746,-20..-15
40m,wspr_2023-06-21_40m.parquet,DL3EL,20,30,10,114,90,0.7894736842105263,-2.4,-9.0,189,152,>-15
40m,wspr_2023-06-21_40m.parquet,F6KPL,20,30,10,86,232,2.697674418604651,14.6,-21.0,621,5390,-22..-20
40m,wspr_2023-06-21_40m.parquet,G8LDJ,30,37,7,186,1,0.005376344086021506,-26.428571428571427,-16.0,6330,28,-20..-15
40m,wspr_2023-06-21_40m.parquet,IQ8BB,30,37,7,1,194,194.0,27.571428571428573,-12.0,18,4278,>-15
40m,wspr_2023-06-21_40m.parquet,IW1QLH,17,27,10,94,61,0.648936170212766,-3.3,-22.0,1316,168,-24..-22
40m,wspr_2023-06-21_40m.parquet,KJ4G,23,33,10,118,1,0.00847457627118644,-11.7,-18.0,5371,1,-20..-15
40m,wspr_2023-06-21_40m.parquet,M0BSI,33,37,4,1,286,286.0,71.25,-9.0,9,6963,>-15
40m,wspr_2023-06-21_40m.parquet,M0PPP,27,37,10,114,85,0.7456140350877193,-2.9,-19.0,248,85,-20..-15
40m,wspr_2023-06-21_40m.parquet,MR0JBA,10,13,3,11,41,3.727272727272727,10.0,-26.0,38,178,-28..-26
40m,wspr_2023-06-21_40m.parquet,N5AQM,27,37,10,126,158,1.253968253968254,3.2,-15.0,357,424,-20..-15
40m,wspr_2023-06-21_40m.parquet,N6YWU,20,30,10,13,16,1.2307692307692308,0.3,-19.0,23,45,-20..-15
40m,wspr_2023-06-21_40m.parquet,NI5F,30,37,7,1,157,157.0,22.285714285714285,-25.0,8,2776,-26..-24
40m,wspr_2023-06-21_40m.parquet,ON3GMB,20,27,7,1,1,1.0,0.0,-22.0,1,1,-24..-22
40m,wspr_2023-06-21_40m.parquet,ON4WS,27,30,3,1,236,236.0,78.33333333333333,-6.5,2,11534,>-15
40m,wspr_2023-06-21_40m.parquet,OZ8WSP,23,27,4,1,121,121.0,30.0,-23.0,7,906,-24..-22
40m,wspr_2023-06-21_40m.parquet,PA3BUL,23,27,4,136,177,1.3014705882352942,10.25,-17.0,432,6897,-20..-15
40m,wspr_2023-06-21_40m.parquet,R1BIH,33,37,4,130,1,0.007692307692307693,-32.25,-22.0,4690,1,-24..-22
40m,wspr_2023-06-21_40m.parquet,S51RS,10,20,10,1,170,170.0,16.9,-13.0,4,3978,>-15
40m,wspr_2023-06-21_40m.parquet,SM3ESX,20,23,3,1,107,107.0,35.333333333333336,-24.0,2,982,-26..-24
40m,wspr_2023-06-21_40m.parquet,WA7ARK,3,13,10,19,19,1.0,0.0,-22.0,1124,125,-24..-22
40m,wspr_2023-06-21_40m.parquet,WA7ARK,13,23,10,19,139,7.315789473684211,12.0,-18.0,125,1403,-20..-15
40m,wspr_2023-06-21_40m.parquet,WW4ET,33,37,4,46,84,1.826086956521739,9.5,-13.0,46,138,>-15
40m,wspr_2023-06-22_40m.parquet,2E0THH,33,37,4,1,210,210.0,52.25,-6.0,1,10581,>-15
40m,wspr_2023-06-22_40m.parquet,AA5H,33,37,4,56,81,1.4464285714285714,6.25,-20.0,679,152,-22..-20
40m,wspr_2023-06-22_40m.parquet,DF7DC,23,27,4,191,22,0.11518324607329843,-42.25,-14.0,2551,22,>-15
40m,wspr_2023-06-22_40m.parquet,DG8GAD,10,17,7,7,1,0.14285714285714285,-0.8571428571428571,-26.0,7,1,-28..-26
40m,wspr_2023-06-22_40m.parquet,DG8GAD,17,20,3,1,48,48.0,15.666666666666666,-21.0,1,138,-22..-20
40m,wspr_2023-06-22_40m.parquet,DG8GAD,20,23,3,48,108,2.25,20.0,-24.0,138,1579,-26..-24
40m,wspr_2023-06-22_40m.parquet,DG8GAD,23,27,4,108,79,0.7314814814814815,-7.25,-24.0,1579,282,-26..-24
40m,wspr_2023-06-22_40m.parquet,DG8GAD,27,30,3,79,1,0.012658227848101266,-26.0,-24.0,282,1,-26..-24
40m,wspr_2023-06-22_40m.parquet,DL3EL,20,30,10,129,130,1.0077519379844961,0.1,-15.0,327,321,-20..-15
40m,wspr_2023-06-22_40m.parquet,F6KPL,20,30,10,102,245,2.4019607843137254,14.3,-21.0,729,5910,-22..-20
40m,wspr_2023-06-22_40m.parquet,G8LIK,23,33,10,203,1,0.0049261083743842365,-20.2,-16.0,16453,1,-20..-15
40m,wspr_2023-06-22_40m.parquet,GM3RQQ,30,33,3,3,42,14.0,13.0,-23.0,38,107,-24..-22
40m,wspr_2023-06-22_40m.parquet,GM3RQQ,33,37,4,42,12,0.2857142857142857,-7.5,-20.0,107,12,-22..-20
40m,wspr_2023-06-22_40m.parquet,GW4JJW,7,10,3,10,41,4.1,10.333333333333334,-28.0,63,330,-30..-28
40m,wspr_2023-06-22_40m.parquet,IQ8BB,30,37,7,2,197,98.5,27.857142857142858,-8.0,3,4154,>-15
40m,wspr_2023-06-22_40m.parquet,IW1QLH,17,27,10,102,58,0.5686274509803921,-4.4,-22.0,1301,178,-24..-22
40m,wspr_2023-06-22_40m.parquet,KI6BZP,37,40,3,153,35,0.22875816993464052,-39.333333333333336,-12.0,2802,35,>-15
40m,wspr_2023-06-22_40m.parquet,KJ4G,23,33,10,112,1,0.008928571428571428,-11.1,-19.0,4572,1,-20..-15
40m,wspr_2023-06-22_40m.parquet,MR0JBA,10,13,3,15,52,3.466666666666667,12.333333333333334,-24.5,102,373,-26..-24
40m,wspr_2023-06-22_40m.parquet,NI5F,30,37,7,1,174,174.0,24.714285714285715,-21.0,8,3365,-22..-20
40m,wspr_2023-06-22_40m.parquet,SV8FET,17,20,3,153,148,0.9673202614379085,-1.6666666666666667,-17.0,1963,1190,-20..-15
40m,wspr_2023-06-22_40m.parquet,W0VI,23,27,4,138,1,0.007246376811594203,-34.25,-20.0,1516,1,-22..-20
40m,wspr_2023-06-23_40m.parquet,AG7UT,30,33,3,1,1,1.0,0.0,-24.0,1,1,-26..-24
40m,wspr_2023-06-23_40m.parquet,AG7UT,33,37,4,1,43,43.0,10.5,-25.0,1,65,-26..-24
40m,wspr_2023-06-23_40m.parquet,DG8GAD,3,10,7,6,11,1.8333333333333333,0.7142857142857143,-19.5,6,11,-20..-15
40m,wspr_2023-06-23_40m.parquet,DG8GAD,10,13,3,11,10,0.9090909090909091,-0.3333333333333333,-23.0,11,16,-24..-22
40m,wspr_2023-06-23_40m.parquet,DG8GAD,13,17,4,10,19,1.9,2.25,-24.0,16,40,-26..-24
40m,wspr_2023-06-23_40m.parquet,DG8GAD,17,20,3,19,67,3.526315789473684,16.0,-24.0,40,198,-26..-24
40m,wspr_2023-06-23_40m.parquet,DG8GAD,20,23,3,67,101,1.507462686567164,11.333333333333334,-23.0,198,1000,-24..-22
40m,wspr_2023-06-23_40m.parquet,DG8GAD,23,27,4,101,74,0.7326732673267327,-6.75,-24.0,1000,246,-26..-24
40m,wspr_2023-06-23_40m.parquet,DL1FX,20,23,3,1,220,220.0,73.0,-19.0,1,8223,-20..-15
40m,wspr_2023-06-23_40m.parquet,DL3EL,20,30,10,81,153,1.8888888888888888,7.2,-12.5,100,742,>-15
40m,wspr_2023-06-23_40m.parquet,F6KPL,20,30,10,91,243,2.67032967032967,15.2,-21.0,715,5735,-22..-20
40m,wspr_2023-06-23_40m.parquet,IU4QSM,37,40,3,42,31,0.7380952380952381,-3.6666666666666665,-15.0,61,31,-20..-15
40m,wspr_2023-06-23_40m.parquet,IW1QLH,17,27,10,105,63,0.6,-4.2,-22.0,1617,177,-24..-22
40m,wspr_2023-06-23_40m.parquet,K3JYD,23,30,7,155,144,0.9290322580645162,-1.5714285714285714,-12.0,3775,418,>-15
40m,wspr_2023-06-23_40m.parquet,K3JYD,30,37,7,144,171,1.1875,3.857142857142857,-11.5,418,281,>-15
40m,wspr_2023-06-23_40m.parquet,KI6BZP,30,37,7,124,121,0.9758064516129032,-0.42857142857142855,-15.0,2004,1088,-20..-15
40m,wspr_2023-06-23_40m.parquet,KI6BZP,37,40,3,121,122,1.0082644628099173,0.3333333333333333,-10.0,1088,490,>-15
40m,wspr_2023-06-23_40m.parquet,MR0JBA,10,13,3,8,32,4.0,8.0,-22.0,28,119,-24..-22
40m,wspr_2023-06-23_40m.parquet,NI5F,30,37,7,1,281,281.0,40.0,-14.0,11,9147,>-15
40m,wspr_2023-06-23_40m.parquet,PD4BA,30,33,3,36,148,4.111111111111111,37.333333333333336,-22.0,36,1684,-24..-22
40m,wspr_2023-06-23_40m.parquet,WA7ARK,3,13,10,55,34,0.6181818181818182,-2.1,-21.0,947,938,-22..-20
40m,wspr_2023-06-23_40m.parquet,WB5SRK,33,43,10,133,122,0.9172932330827067,-1.1,-12.0,1375,751,>-15
40m,wspr_2023-06-24_40m.parquet,AA1II,43,47,4,1,1,1.0,0.0,-28.0,1,1,-30..-28
40m,wspr_2023-06-24_40m.parquet,AI7HP/2,23,27,4,26,1,0.038461538461538464,-6.25,-22.0,230,1,-24..-22
40m,wspr_2023-06-24_40m.parquet,DG8GAD,17,20,3,34,36,1.0588235294117647,0.6666666666666666,-21.0,61,89,-22..-20
40m,wspr_2023-06-24_40m.parquet,DG8GAD,20,23,3,36,109,3.0277777777777777,24.333333333333332,-22.0,89,1654,-24..-22
40m,wspr_2023-06-24_40m.parquet,DG8GAD,23,27,4,109,84,0.7706422018348624,-6.25,-23.0,1654,336,-24..-22
40m,wspr_2023-06-24_40m.parquet,DK9PA,20,30,10,39,65,1.6666666666666667,2.6,-19.0,83,102,-20..-15
