band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,30,33,3,33,24,0.7272727272727273,-3.0,-17.5,180,50,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,33,37,4,24,21,0.875,-0.75,-19.0,50,28,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,37,40,3,21,47,2.238095238095238,8.666666666666666,-19.0,28,319,-20..-15
20m,wspr_2023-05-18_20m.parquet,K5FRT,0,3,3,9,6,0.6666666666666666,-1.0,-23.5,50,24,-24..-22
20m,wspr_2023-05-18_20m.parquet,KB4GM,0,10,10,4,3,0.75,-0.1,-23.5,4,3,-24..-22
20m,wspr_2023-05-18_20m.parquet,KB4GM,10,13,3,3,1,0.3333333333333333,-0.6666666666666666,-23.0,3,1,-24..-22
20m,wspr_2023-05-18_20m.parquet,KB4GM,13,20,7,1,1,1.0,0.0,-25.0,1,1,-26..-24
20m,wspr_2023-05-18_20m.parquet,KB4GM,20,23,3,1,4,4.0,1.0,-25.0,1,4,-26..-24
20m,wspr_2023-05-18_20m.parquet,KB4GM,23,27,4,4,4,1.0,0.0,-21.5,4,5,-22..-20
20m,wspr_2023-05-18_20m.parquet,KB4GM,27,30,3,4,3,0.75,-0.3333333333333333,-25.0,5,3,-26..-24
20m,wspr_2023-05-18_20m.parquet,KB4GM,30,33,3,3,5,1.6666666666666667,0.6666666666666666,-19.0,3,5,-20..-15
20m,wspr_2023-05-18_20m.parquet,KB4GM,33,37,4,5,1,0.2,-1.0,-26.0,5,1,-28..-26
20m,wspr_2023-05-18_20m.parquet,M0BSI,33,37,4,338,1,0.0029585798816568047,-84.25,-14.0,6345,2,>-15
20m,wspr_2023-05-18_20m.parquet,N7GEE,30,37,7,6,37,6.166666666666667,4.428571428571429,-24.0,9,146,-26..-24
20m,wspr_2023-05-18_20m.parquet,NU7B,30,33,3,12,30,2.5,6.0,-16.0,13,51,-20..-15
20m,wspr_2023-05-18_20m.parquet,NU7B,33,40,7,30,35,1.1666666666666667,0.7142857142857143,-20.0,51,81,-22..-20
20m,wspr_2023-05-18_20m.parquet,PA2W,27,37,10,21,99,4.714285714285714,7.8,-15.5,40,99,-20..-15
20m,wspr_2023-05-18_20m.parquet,QK2ZPS,37,40,3,22,5,0.22727272727272727,-5.666666666666667,-20.0,22,5,-22..-20
20m,wspr_2023-05-18_20m.parquet,QK2ZTB,37,40,3,23,5,0.21739130434782608,-6.0,-20.0,23,5,-22..-20
20m,wspr_2023-05-18_20m.parquet,UA1ZQN,37,40,3,333,87,0.26126126126126126,-82.0,-14.0,9979,87,>-15
20m,wspr_2023-05-18_20m.parquet,UA1ZQN,40,43,3,87,111,1.2758620689655173,8.0,-14.0,87,111,>-15
20m,wspr_2023-05-18_20m.parquet,WA6HEW,23,27,4,196,1,0.00510204081632653,-48.75,-17.0,3228,1,-20..-15
20m,wspr_2023-05-19_20m.parquet,AB7FB,27,37,10,56,61,1.0892857142857142,0.5,-18.0,175,61,-20..-15
20m,wspr_2023-05-19_20m.parquet,AJ8S,33,37,4,1,367,367.0,91.5,-22.0,9,3826,-24..-22
20m,wspr_2023-05-19_20m.parquet,DK3BI,23,33,10,97,139,1.4329896907216495,4.2,-14.0,1412,1205,>-15
20m,wspr_2023-05-19_20m.parquet,G4GVZ,33,37,4,126,59,0.46825396825396826,-16.75,-12.0,451,126,>-15
